Quarter,Sales
Q1-86,1734.83
Q2-86,2244.96
Q3-86,2533.8
Q4-86,2154.96
Q1-87,1547.82
Q2-87,2104.41
Q3-87,2014.36
Q4-87,1991.75
Q1-88,1869.05
Q2-88,2313.63
Q3-88,2128.32
Q4-88,2026.83
Q1-89,1910.6
Q2-89,2331.16
Q3-89,2206.55
Q4-89,2173.97
Q1-90,2148.28
Q2-90,2739.31
Q3-90,2792.75
Q4-90,2556.01
Q1-91,2480.97
Q2-91,3039.52
Q3-91,3172.12
Q4-91,2879
Q1-92,2772
Q2-92,3550
Q3-92,3508
Q4-92,3243.86
Q1-93,3056
Q2-93,3899
Q3-93,3629
Q4-93,3373
Q1-94,3352
Q2-94,4342
Q3-94,4461
Q4-94,4017
Q1-95,3854
Q2-95,4936
Q3-95,4895
Q4-95,4333
Q1-96,4194
Q2-96,5253
Q3-96,4656
Q4-96,4443
Q1-97,4138
Q2-97,5075
Q3-97,4954
Q4-97,4701
Q1-98,4457
Q2-98,5151
Q3-98,4747
Q4-98,4458
Q1-99,4428
Q2-99,5379
Q3-99,5195
Q4-99,4803
