Time,Event,UnempIns,Age,LogWage,Tenure,RepRate,DisRate,HeadOfHousehold,Married,Female,Childen,NonWhite,BlueCollar,Mining,Construction,Transportation,Trade,Services,PublicAdmin
5,1,0,41,6.89568,3,0.179,0.045,1,1,0,1,0,0,1,0,0,0,0,0
13,1,1,30,5.28827,6,0.52,0.13,1,1,0,1,0,1,1,0,0,0,0,0
21,1,1,36,6.76734,1,0.204,0.051,0,0,0,0,0,1,1,0,0,0,0,0
3,1,1,26,5.97889,3,0.448,0.112,1,1,0,1,1,1,0,1,0,0,0,0
9,0,1,22,6.31536,0,0.32,0.08,1,0,0,0,0,1,1,0,0,0,0,0
11,0,1,43,6.85435,9,0.187,0.047,1,1,0,1,0,1,0,0,0,1,0,0
1,0,0,24,5.60947,1,0.52,0.13,1,1,0,1,1,0,0,0,0,0,1,0
3,1,0,32,6.16121,0,0.373,0.093,1,1,0,1,0,1,0,1,0,0,0,0
7,1,1,35,5.28827,2,0.52,0.13,1,1,0,1,0,1,0,0,0,0,0,0
5,0,1,31,5.28827,1,0.52,0.13,0,1,1,0,0,0,0,0,0,0,0,0
7,0,1,26,5.75574,2,0.52,0.13,1,1,0,1,0,1,0,1,0,0,0,0
15,0,1,49,6.67203,21,0.224,0.056,1,1,0,0,0,0,0,0,1,0,0,0
2,1,0,39,5.06259,0,0.52,0.13,1,0,1,0,0,0,0,0,0,0,1,0
3,0,1,40,4.95583,0,0.52,0.13,1,0,1,0,0,1,0,0,0,0,0,0
1,1,0,20,5.28827,0,0.52,0.13,1,1,0,1,0,1,0,0,0,1,0,0
2,1,0,39,5.87493,14,0.498,0.124,1,1,0,0,0,0,0,0,0,1,0,0
14,0,1,38,6.31536,10,0.32,0.08,1,0,0,0,0,1,1,0,0,0,0,0
1,1,0,38,6.16121,10,0.373,0.093,0,0,0,0,0,0,1,0,0,0,0,0
1,0,0,20,4.7362,0,0.52,0.13,0,1,1,0,0,0,0,0,0,1,0,0
5,0,0,26,5.46806,2,0.52,0.13,1,1,0,1,0,1,0,1,0,0,0,0
7,0,1,44,5.64897,8,0.52,0.13,0,0,0,0,0,1,0,0,0,0,0,0
5,0,1,52,5.15906,7,0.52,0.13,1,1,0,1,0,1,0,0,0,0,1,0
5,1,1,30,5.64897,10,0.52,0.13,1,1,0,1,1,1,0,0,0,1,0,0
2,0,0,47,4.77912,0,0.52,0.13,0,0,1,0,0,1,0,0,0,0,0,0
15,0,1,43,6.38519,2,0.299,0.075,1,1,0,1,0,0,0,1,0,0,0,0
15,1,0,30,5.28827,1,0.52,0.13,0,1,1,1,0,0,0,1,0,0,0,0
3,0,0,25,5.53339,1,0.52,0.13,0,0,0,0,0,1,0,0,0,0,0,0
6,0,1,33,6.16121,3,0.373,0.093,1,0,1,0,0,0,0,0,0,0,0,0
2,1,0,45,5.53339,7,0.52,0.13,1,1,0,1,0,0,0,0,0,1,0,0
1,1,0,37,5.62402,4,0.52,0.13,1,0,0,0,0,0,0,0,0,0,1,0
5,0,1,47,6.67203,12,0.224,0.056,1,1,0,1,0,1,0,0,1,0,0,0
2,1,1,27,5.87493,2,0.498,0.124,1,0,1,0,0,0,0,0,0,0,1,0
1,1,0,42,5.62402,0,0.52,0.13,1,1,0,0,0,1,0,0,0,1,0,0
7,1,0,44,7.36455,3,0.112,0.028,1,1,0,1,0,0,0,0,0,0,0,0
5,0,1,31,6.31536,11,0.32,0.08,0,1,1,1,0,0,0,0,0,0,1,0
6,0,0,29,5.75574,2,0.52,0.13,0,0,0,0,0,1,0,1,0,0,0,0
4,0,0,24,5.28827,1,0.52,0.13,0,1,1,0,1,0,0,0,0,0,1,0
6,1,1,36,5.55683,9,0.52,0.13,1,1,1,1,0,1,0,0,0,0,1,0
1,1,0,39,5.46806,0,0.52,0.13,1,0,1,0,0,0,0,0,0,0,0,0
3,1,0,44,6.45834,2,0.277,0.069,1,1,0,0,0,1,0,0,0,0,1,0
3,1,0,29,5.8522,8,0.509,0.127,0,0,0,0,0,1,0,1,0,0,0,0
2,0,0,33,5.97889,2,0.448,0.112,1,0,1,0,0,0,0,0,0,0,0,0
5,1,1,35,5.46806,0,0.52,0.13,1,0,0,1,0,1,0,1,0,0,0,0
14,0,1,43,6.07535,20,0.407,0.102,1,0,0,0,0,0,0,0,0,1,0,0
7,0,0,43,5.97889,2,0.448,0.112,1,0,1,1,0,0,0,0,0,0,1,0
5,1,1,27,6.13123,1,0.385,0.096,1,0,0,0,0,1,0,0,1,0,0,0
14,0,1,28,5.22575,1,0.52,0.13,1,0,1,1,1,0,0,0,0,1,0,0
1,1,0,34,5.53339,2,0.52,0.13,1,0,1,0,0,1,0,0,0,0,0,0
4,0,1,29,5.97889,5,0.448,0.112,0,0,1,0,0,1,0,0,1,0,0,0
14,1,1,21,5.36129,0,0.52,0.13,0,0,1,1,0,0,0,0,0,0,0,0
1,0,0,22,5.46806,2,0.52,0.13,1,0,0,0,0,1,0,0,0,0,0,0
1,0,1,27,5.87493,3,0.498,0.124,0,1,1,1,1,1,0,0,0,0,0,0
19,0,1,46,5.88332,3,0.492,0.123,1,1,0,1,0,0,0,0,0,0,0,1
5,1,1,26,5.75574,2,0.52,0.13,0,1,1,1,0,0,0,0,0,0,1,0
4,1,1,27,6.24222,2,0.345,0.086,1,1,0,1,0,0,0,0,0,1,0,0
1,1,0,29,5.87493,5,0.498,0.124,0,1,1,1,0,0,0,0,0,1,0,0
13,0,1,48,5.56452,3,0.52,0.13,1,1,0,1,0,0,0,0,0,0,0,0
1,0,0,30,5.06259,0,0.52,0.13,1,0,0,1,0,1,0,0,0,0,0,0
